,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
2938,0.473,0.953,-5.309,0.0377,7.66e-05,0.843,0.357,0.0728,174.026,355623,0,24,7,7CARHiVy4OUyQQC37UyMWv,"['Sub:liminal', 'SOLR']",Destinations
2939,0.404,0.946,-5.566,0.0514,0.00163,0.723,0.0809,0.307,173.996,270662,0,28,7,42t10cOdyTaykwkrDFDeTG,['Cream Blade'],Acero
2940,0.484,0.796,-5.376,0.0346,0.00648,0.616,0.101,0.0345,174.992,313741,0,27,7,5lr5XrCp7CFOdIix2gRTnZ,['Genetics'],Upside Down
2941,0.286,0.726,-4.264,0.0378,0.00325,0.000529,0.302,0.239,173.989,256509,0,16,9,3yyVSf8UCsSzaUfMZF86fV,"['T & Sugah', 'Rex Hooligan', 'NCT', 'Miyoki']",Stardust (feat. Miyoki) - Rex Hooligan Remix
2942,0.657,0.893,-6.013,0.0457,0.0064,0.916,0.601,0.407,172.015,241510,0,22,5,4nbUtD4gOLxs2xEzpHRspl,['Vandera'],IO
2943,0.168,0.814,-6.293,0.0402,0.00026,0.336,0.119,0.032,86.867,246881,0,26,9,3v0nAwAtyq2KXPORUD9Go4,['KNGHT'],Forever
2944,0.622,0.692,-5.498,0.058,0.014,0.682,0.0766,0.222,87.482,266418,0,20,10,1VDYgl6psBmUSsiHPkLfK4,"['Humanature', 'Retrospekt']",Lost King
2945,0.423,0.883,-2.992,0.0334,0.000652,0.00469,0.069,0.194,173.997,260107,0,24,9,3rBwl5nImSOiGIMwz4EG0M,"['NCT', 'Lexurus', 'Skyelle']",Astrophysical - Lexurus Remix
2946,0.313,0.8,-2.105,0.0463,0.106,3.33e-05,0.0973,0.132,87.997,212093,0,54,9,45vPjSJ5NyIfBWIjilEhcy,"['Birdy', 'Hybrid Minds']",Deep End - Hybrid Minds Remix
2947,0.546,0.797,-4.786,0.038,0.000282,0.401,0.103,0.0771,87.491,285495,0,21,10,5pvEr95zt60ZwNRzBJXxj9,"['Humanature', 'Retrospekt']",4eva
2948,0.492,0.874,-4.664,0.033,0.000693,0.665,0.068,0.0778,87.006,217931,0,25,7,2DpY1MMJvBwXRV4gIeF2wY,['Audioscribe'],Here To Stay
2949,0.5,0.944,-3.933,0.0586,0.00144,0.119,0.371,0.157,174.052,250101,0,37,9,7xzfAzZ2jOf7XNOt85D4py,"['salute', 'Logistics']",Want U There - Logistics Remix
2950,0.522,0.912,-0.799,0.0386,0.00135,0.232,0.0879,0.313,174.018,250774,0,21,9,1USMmvi5FlcfUh4UKtAsRg,"['Jon Void', 'NCT', 'Futurebound']",The Feeling - Jon Void Remix
2951,0.498,0.752,-4.459,0.0485,0.000671,0.748,0.741,0.0873,175.03,296537,0,20,5,32ZHRwVWTeZRaqHSX91rld,"['Humanature', 'Retrospekt']",All The Time
2952,0.61,0.813,-3.456,0.0726,0.0149,0.00247,0.752,0.63,173.928,215414,0,20,5,250euDUWOcW2g5MFtTfhaD,"['NCT', 'Blooom']",Before I Go - Blooom Remix
2953,0.489,0.952,-5.606,0.0456,0.0105,0.0923,0.083,0.0352,174.936,294511,0,25,9,3xZGsMSoGlzfMAErdDvrqK,"['Matt View', 'hannelotta']",Surround Me
2954,0.587,0.883,-5.383,0.0945,0.0596,0.0006,0.108,0.168,173.995,252755,0,22,9,1gjELEcRo7NpHYZ9zGaqG3,"['NCT', 'L.A.O.S']",Afterlife - L.A.O.S Remix
2955,0.578,0.571,-6.908,0.0447,0.237,0.925,0.0685,0.0397,87.011,274478,0,28,10,6uuRoFOoxHlRIdc9MBdDrg,['Rameses B'],Sonder
2956,0.501,0.803,-4.813,0.0398,0.00635,0.398,0.0774,0.113,174.017,292614,0,26,7,518SM2p7vNE1Ue9INZmxxJ,"['Telomic', 'Empaths']",Come With Me
2957,0.422,0.934,-2.284,0.0476,8.24e-05,0.0346,0.0887,0.202,172.039,209043,0,21,9,1VyWPN9ztnPBR9cetWezDq,"['NCT', 'RIENK', 'Solomon France']",New Horizon - Solomon France Remix
