danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.389,0.889,9,-6.546,1,0.0442,0.0415,0.0,0.463,0.524,171.121,audio_features,5yEPxDjbbzUzyauGtnmVEC,spotify:track:5yEPxDjbbzUzyauGtnmVEC,https://api.spotify.com/v1/tracks/5yEPxDjbbzUzyauGtnmVEC,https://api.spotify.com/v1/audio-analysis/5yEPxDjbbzUzyauGtnmVEC,358427,4
0.77,0.812,9,-9.013,1,0.145,0.384,2.34e-06,0.122,0.897,90.984,audio_features,7oDq6PidL34An1VqTQUd5o,spotify:track:7oDq6PidL34An1VqTQUd5o,https://api.spotify.com/v1/tracks/7oDq6PidL34An1VqTQUd5o,https://api.spotify.com/v1/audio-analysis/7oDq6PidL34An1VqTQUd5o,129400,4
0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,audio_features,5kmbjtL6Q6zkATdc02JJHv,spotify:track:5kmbjtL6Q6zkATdc02JJHv,https://api.spotify.com/v1/tracks/5kmbjtL6Q6zkATdc02JJHv,https://api.spotify.com/v1/audio-analysis/5kmbjtL6Q6zkATdc02JJHv,423840,4
0.324,0.641,3,-11.12,1,0.0451,0.189,8.47e-05,0.109,0.308,83.901,audio_features,4psjgB5e5HIuUeSVbEUY64,spotify:track:4psjgB5e5HIuUeSVbEUY64,https://api.spotify.com/v1/tracks/4psjgB5e5HIuUeSVbEUY64,https://api.spotify.com/v1/audio-analysis/4psjgB5e5HIuUeSVbEUY64,219133,4
0.592,0.891,7,-5.637,1,0.0316,0.0145,0.141,0.394,0.717,114.348,audio_features,7cFfFVVubc4K5qB0jGyguY,spotify:track:7cFfFVVubc4K5qB0jGyguY,https://api.spotify.com/v1/tracks/7cFfFVVubc4K5qB0jGyguY,https://api.spotify.com/v1/audio-analysis/7cFfFVVubc4K5qB0jGyguY,312293,4
0.595,0.617,6,-10.455,0,0.117,0.0343,0.000135,0.383,0.823,85.387,audio_features,4b8GTae6rqb9oPiRzVa3Gy,spotify:track:4b8GTae6rqb9oPiRzVa3Gy,https://api.spotify.com/v1/tracks/4b8GTae6rqb9oPiRzVa3Gy,https://api.spotify.com/v1/audio-analysis/4b8GTae6rqb9oPiRzVa3Gy,234960,4
0.798,0.586,2,-13.001,1,0.255,0.00556,2.34e-06,0.473,0.381,105.979,audio_features,26zWdOUpB6P9E9OtQQc0qp,spotify:track:26zWdOUpB6P9E9OtQQc0qp,https://api.spotify.com/v1/tracks/26zWdOUpB6P9E9OtQQc0qp,https://api.spotify.com/v1/audio-analysis/26zWdOUpB6P9E9OtQQc0qp,282640,4
0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,audio_features,38Ngied9rBORlAbLYNCl4k,spotify:track:38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/audio-analysis/38Ngied9rBORlAbLYNCl4k,259907,4
0.328,0.762,5,-8.651,1,0.0476,0.0342,0.00876,0.198,0.274,125.75,audio_features,0LTZD4vTsp0EN1wXatc9IR,spotify:track:0LTZD4vTsp0EN1wXatc9IR,https://api.spotify.com/v1/tracks/0LTZD4vTsp0EN1wXatc9IR,https://api.spotify.com/v1/audio-analysis/0LTZD4vTsp0EN1wXatc9IR,383507,4
0.401,0.893,9,-11.171,1,0.437,0.0617,0.0391,0.164,0.406,87.979,audio_features,49Y7HyMsxQegZqry19Ev9N,spotify:track:49Y7HyMsxQegZqry19Ev9N,https://api.spotify.com/v1/tracks/49Y7HyMsxQegZqry19Ev9N,https://api.spotify.com/v1/audio-analysis/49Y7HyMsxQegZqry19Ev9N,334555,4
0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,audio_features,3iVcZ5G6tvkXZkZKlMpIUs,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,219333,4
0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,audio_features,3XC7Jd6SfrQYKZJ6inyRHK,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,https://api.spotify.com/v1/tracks/3XC7Jd6SfrQYKZJ6inyRHK,https://api.spotify.com/v1/audio-analysis/3XC7Jd6SfrQYKZJ6inyRHK,269907,3
0.564,0.262,0,-19.746,1,0.105,0.652,0.000204,0.0896,0.376,104.5,audio_features,0EFEkt29P7Icr7dO4vN6yk,spotify:track:0EFEkt29P7Icr7dO4vN6yk,https://api.spotify.com/v1/tracks/0EFEkt29P7Icr7dO4vN6yk,https://api.spotify.com/v1/audio-analysis/0EFEkt29P7Icr7dO4vN6yk,253960,4
