,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,clusters,id,artist,song_title
3321,0.408,0.875,-6.036,0.0301,0.0299,0.823,0.169,0.56,150.782,0,0,1,5DeQokk84S75WuTcT5NWZO,"['Flite', 'Justin Hawkes']",Break The Loop
3322,0.443,0.446,-8.226,0.0326,0.673,0.0,0.099,0.343,146.681,0,39,8,1oxLvG2LhyDKa9hSPCYQd1,"['Flite', 'Justin Hawkes']",Kairos
3323,0.645,0.42,-10.09,0.0624,0.555,0.0,0.125,0.583,129.084,0,61,0,65Ug1U9PK5Eqm5fzmJcXaZ,"['Hybrid Minds', 'Grimm']",Meant to Be
3324,0.52,0.389,-10.476,0.0403,0.83,0.0265,0.0937,0.326,133.113,0,0,8,7yahqANoaeBiBRlMZQacCN,"['Au/Ra', 'Culture Shock']",Panic Room - Culture Shock Remix
3325,0.528,0.459,-12.838,0.0291,0.0728,0.00137,0.0747,0.61,107.729,0,0,3,5HQTZbMOzO7LWmopuf4hVm,"['Feint', 'Laura Brehm']",Words
3326,0.456,0.681,-10.028,0.0639,0.283,0.000191,0.0845,0.536,142.18,0,0,3,5pMHruc8MOFAhK6ILZAUpo,['Telomic'],Alone (ft. Notelle)
3327,0.925,0.955,-6.317,0.292,0.0342,0.0,0.198,0.641,100.429,0,35,4,69DUMRq8f2GBnpun9BZuOK,"['Telomic', 'Visionobi']",No Resistance
3328,0.598,0.673,-10.431,0.0693,0.0422,6.84e-05,0.289,0.59,102.035,0,0,3,74LtFXVzkkh69fLOWAmgib,['T & Sugah'],Descenders
3329,0.663,0.522,-8.741,0.0374,0.392,5.41e-06,0.197,0.301,99.765,0,1,3,7ECtM7V5Yp5AmC61Abzsx3,['Lexurus'],Make Me
3330,0.592,0.705,-10.276,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,0,65,0,2DOsq2dfLJ6p2dTcSZYNda,['Koven'],Love Wins Again
3331,0.433,0.652,-6.441,0.0464,0.547,0.000182,0.339,0.656,139.083,0,0,3,3eZPV4hxALhWeC6zfCjN8U,"['The Outsiders', 'Ida']",Stay Alive
3332,0.521,0.949,-5.279,0.0326,0.000265,2.62e-05,0.171,0.956,133.393,0,52,0,6LmNEPZWhYAyz9jZHaW3sj,"['Maduk', 'Lachi']",Go
3333,0.804,0.782,-6.224,0.0606,0.00302,0.0872,0.662,0.346,116.806,0,52,5,3lpxSnyJPpLD6sceE53Tga,"['Telomic', 'Direct', 'Matt Van']",Weakness
