,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
140,0.564,0.798,-4.658,0.0606,0.151,0.425,0.148,0.346,174.03,3NF2Lmx3cWEpzqOFoMRvAe,311889
141,0.554,0.705,-7.001,0.0504,0.0154,0.794,0.154,0.0347,173.962,71n7PXIkYvKmOvxchb4Enp,294446
142,0.601,0.802,-5.197,0.0831,0.0548,0.214,0.0889,0.193,173.974,6s0xvLN9talyCcfSgPI6YZ,295372
143,0.439,0.935,-3.4,0.0402,0.000193,0.0464,0.649,0.0704,174.019,1w2ZP61PQdWpRdEll8wBUv,259310
144,0.562,0.854,-7.643,0.0873,0.00815,0.87,0.068,0.472,173.929,1UuGeICzbIUql4G7xgAUnE,272859
145,0.582,0.903,-3.977,0.0494,0.00673,0.719,0.122,0.0375,172.07,1qhUHa38klt66O0xAlUaAL,268937
146,0.579,0.728,-5.762,0.0608,0.0337,0.000382,0.119,0.229,173.931,1PraLv0uSZlFK51eZGeGfX,249590
147,0.59,0.736,-5.873,0.0549,0.00328,0.000447,0.0546,0.543,170.016,7pbMyLspSZy1mDE9rCpzmy,324380
148,0.586,0.89,-5.637,0.0608,0.0288,0.864,0.129,0.152,174.024,4auqdAXONLId4w8fs3zlUD,253993
149,0.507,0.846,-3.996,0.0457,0.000321,0.913,0.0527,0.0398,175.033,7Lz9sF2claZHkqGOyxqmzg,274386
150,0.633,0.829,-6.789,0.066,0.000524,0.546,0.0891,0.0349,86.978,5VdGg1kD3lglwlkWWQXaL8,292920
151,0.663,0.815,-6.166,0.085,0.0116,0.903,0.0782,0.382,174.068,2O89LKrkuSbXk9NbBfPpBO,251234
152,0.526,0.967,-4.079,0.0421,0.00181,0.816,0.108,0.502,174.018,216DiiYn1cw3Tv5R2q1ozB,180554
153,0.366,0.937,-2.492,0.0405,0.0015,0.234,0.0884,0.0373,174.019,6XYJSifomaDXaXbbh91kvQ,296243
154,0.51,0.904,-3.523,0.0444,0.00141,0.00456,0.115,0.247,173.98,0ue3cneekkMQzwtZUay7GW,260989
155,0.736,0.908,-4.553,0.117,0.000986,0.725,0.0726,0.239,87.491,01gRrDvkhRuVFoJdod5wrC,291211
156,0.468,0.987,-3.448,0.0491,0.000177,0.851,0.116,0.0622,171.992,2sWJQp2XoKHQFg2GNBDkCM,273543
157,0.459,0.944,-3.163,0.0697,0.00458,0.157,0.72,0.308,173.969,1PddMtWRrXILbfBqOU3Hle,233170
158,0.39,0.859,-4.181,0.0417,0.000512,0.635,0.11,0.057,174.034,26ZzrQLGsmKp3M6Fu1dc7O,270521
159,0.446,0.976,-3.42,0.0475,0.00148,0.793,0.323,0.305,174.99,2wEb6QDxOnsFINLHNTLp9o,318101
160,0.492,0.924,-4.255,0.0494,0.000971,0.767,0.0342,0.519,173.943,6HTZQOYIGZehiIfKCKSn3G,254364
161,0.52,0.916,-4.61,0.0434,0.000241,0.506,0.183,0.135,174.007,1gIaDZgq5IEtzAa8g7IjFy,213441
162,0.499,0.904,-3.836,0.0356,0.000719,0.026,0.371,0.271,86.953,0TcQfwHcRjwL3vsD2g4fz0,264109
163,0.529,0.82,-4.485,0.0433,0.0049,0.0089,0.0532,0.0378,173.996,5yizUlPJuEhatpoDnewf1A,310219
164,0.514,0.905,-6.243,0.0513,0.0133,0.846,0.354,0.124,173.985,5l8OYdRXvSpOQz4xHBg1yk,341979
165,0.627,0.722,-4.03,0.319,0.0874,0.211,0.128,0.148,173.787,089azhCtSAx6IIxgw8Ds7x,270893
166,0.38,0.956,-5.577,0.0429,4.58e-05,0.477,0.305,0.0659,174.093,6Dyemte1oKUY0xdipWXZjX,293356
167,0.409,0.982,-3.839,0.0394,0.00117,0.273,0.331,0.256,174.023,0KtQbIkCKDaUgIJpM6Xsyr,257097
168,0.388,0.89,-4.266,0.0366,9.93e-05,0.867,0.0963,0.469,173.991,5uRCWbyvNxjs2eUx5nxtIw,246431
169,0.476,0.788,-5.366,0.0341,0.000172,0.00332,0.162,0.103,171.967,6dy0aerp4bOoV4wFoxGpe3,251190
170,0.514,0.955,-3.192,0.0539,0.000172,0.136,0.103,0.15,173.977,6iE4KSKX1sP4a7qjm1HrHV,231924
171,0.448,0.955,-3.195,0.0543,0.00577,0.844,0.111,0.0706,173.986,4DHOVNcUTKPAQ4ZiJWoXbk,300000
172,0.465,0.964,-1.703,0.0423,0.000355,0.929,0.138,0.312,173.979,7KuSW92Xo7b3miwuMCovhu,228005
173,0.448,0.979,-2.343,0.043,0.000158,0.581,0.134,0.639,175.013,4nvA04TuLwdgzLuPKILQE0,340314
174,0.437,0.936,-5.456,0.117,9.28e-05,0.924,0.132,0.156,173.96,3wRD36YQAG85PU6sgdrs59,268993
175,0.604,0.801,-7.727,0.051,0.0314,0.899,0.122,0.105,174.035,6jLWsTbWniLvGEDSCQPin9,353103
176,0.558,0.852,-4.373,0.0581,0.0127,0.0056,0.0897,0.0619,173.937,51otDJJtNCVTvrATSD4K4B,251234
177,0.535,0.964,-4.256,0.0417,0.00677,0.724,0.0416,0.575,173.951,00K0NNXPlrdvkRxTJmcghi,267790
178,0.457,0.968,-2.108,0.132,0.117,0.94,0.101,0.0367,173.962,1HML25qqix6wuJT2ST5XJx,367247
179,0.491,0.85,-6.48,0.0371,0.00228,0.257,0.0355,0.328,174.011,7gR0wUe48tXDE4L0i7Y419,295172
180,0.335,0.797,-5.428,0.0569,0.0137,0.322,0.126,0.108,85.501,38h7FVc9uB4qsI0rOHTbqV,377392
181,0.499,0.836,-4.889,0.0441,0.118,0.794,0.0804,0.425,174.028,2kQwIT4PnaxlBFHUidP7xh,287097
182,0.555,0.858,-3.813,0.0445,0.00733,0.000767,0.172,0.136,174.024,7FJ03CSYlQWBIVOLrmDp3g,216207
183,0.604,0.834,-4.023,0.0505,0.000157,0.786,0.0962,0.0773,174.021,3S29GiBr2fcqCatSGKrt2V,298131
184,0.562,0.854,-7.643,0.0873,0.00815,0.87,0.068,0.472,173.929,33SPpidy7srfJ3j6OMhBzF,272859
185,0.59,0.687,-4.782,0.0671,0.0192,0.916,0.0927,0.0606,173.977,0FMGS5GM6aRMYWpSalaJmP,298131
186,0.471,0.925,-2.966,0.047,0.0527,0.0843,0.0674,0.245,174.006,347lxnGA8lmQIp93tzugrM,228969
187,0.576,0.811,-4.807,0.0462,0.00772,0.00227,0.125,0.0737,173.972,3eqkybGtqre4NTAQLs3kOV,305455
188,0.41,0.95,-3.158,0.036,0.000436,0.881,0.404,0.162,174.01,14hAZvFFnYG7sszxRByd30,204381
189,0.445,0.923,-3.922,0.0562,0.000693,0.00472,0.341,0.068,174.032,3RGz1UbLFkDdxgs0JFFsnD,255839
190,0.524,0.849,-3.548,0.0454,0.00247,0.02,0.451,0.04,174.016,4mIn4ZCtRmM31yTnMuEYJU,251377
191,0.476,0.905,-3.42,0.0526,0.000282,0.0423,0.131,0.128,174.032,7zIFFqNOGkQ5nq1qIlP1F3,265455
192,0.42,0.91,-3.586,0.0411,0.00134,0.0331,0.368,0.264,173.998,2BLPsEe7WMUf7klbwGpdEb,182277
193,0.485,0.775,-3.032,0.065,0.00599,1.56e-05,0.122,0.525,173.957,2WL2Z97XwPMR9o3KisUQeh,221500
194,0.311,0.898,-4.027,0.0641,0.000664,0.0178,0.0848,0.0725,173.995,77Nvyqivv5lOJ8Yv3MEbBq,229166
195,0.653,0.591,-3.909,0.205,0.0244,0.000312,0.0953,0.173,86.037,2WlY3vWlbUkgIYriLfoNho,274884
196,0.37,0.977,-0.839,0.0351,0.000159,0.863,0.233,0.371,174.941,2HT4bpNXirLCC0JFLKBOTM,270980
197,0.415,0.922,-4.662,0.0517,4.55e-05,0.845,0.087,0.066,174.04,6jNlEe0t8DkRRtx0dwqQDX,281583
198,0.423,0.948,-3.62,0.0355,0.000203,0.938,0.106,0.141,173.979,0nVZNpwRywLxBCGZWJAVDj,225055
199,0.632,0.861,-2.62,0.0451,0.0226,0.112,0.119,0.145,174.065,3V5iLa12VCexsBx3DkSKEJ,201379
200,0.528,0.909,-3.488,0.0406,0.00379,0.0519,0.372,0.401,173.987,4ZvkADFYYPdOi2NdzIqJFd,313103
201,0.481,0.96,-1.358,0.0467,0.000677,0.00235,0.141,0.348,175.078,0eLZf7bp815SzftuAYBXXe,205714
202,0.628,0.787,-3.811,0.0353,0.045,0.136,0.291,0.192,86.978,3ZYeLJZyWL7a237T24QX5D,251724
203,0.437,0.93,-3.174,0.058,0.00257,0.000229,0.0706,0.0844,174.906,2zW7DNc1qD8ETXovFHwnBl,249461
204,0.623,0.86,-3.136,0.0481,0.00987,0.55,0.192,0.245,173.887,7hcQJDXEMJ1606e18ov4mh,256639
