,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
192,0.72,0.672,-6.852,0.0551,0.009,0.0,0.232,0.705,124.986,3GpbwCm3YxiWDvy29Uo3vP,204640
193,0.689,0.685,-5.153,0.0478,0.0921,0.0,0.119,0.398,160.067,79EAVfOpzgfHx3IE2BVFQv,294200
194,0.835,0.687,-3.18,0.184,0.101,0.0,0.132,0.828,94.059,0uqPG793dkDDN7sCUJJIVC,272533
195,0.607,0.934,-4.217,0.0314,0.0327,0.0,0.0909,0.568,122.01,7ElF5zxOwYP4qVSWVvse3W,201547
196,0.446,0.764,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,0gmbgwZ8iqyMPmXefof8Yf,223840
197,0.689,0.702,-5.642,0.0261,0.216,0.0,0.159,0.484,99.031,6e40mgJiCid5HRAGrbpGA6,213600
198,0.477,0.883,-4.074,0.0348,0.000477,0.0,0.32,0.503,87.136,1rHtngf9FuO1y0aEyPcNVF,258734
199,0.679,0.903,-4.914,0.0463,0.333,0.0,0.372,0.872,108.114,3v0uXfyMEZ1lGvBOv1Y4ar,213600
200,0.737,0.647,-7.076,0.0368,0.389,0.0,0.201,0.71,101.098,62R1MRux3R0v2cngA2xdJn,204387
201,0.663,0.475,-8.834,0.0417,0.643,0.0,0.122,0.644,143.175,4jH2NgiLe1z17ev6z6i7Fz,191027
202,0.522,0.803,-5.825,0.0327,0.00117,0.00167,0.31,0.0783,135.205,1Le4SDanBrX8OtmnnyTNrh,352173
203,0.491,0.831,-5.321,0.0349,0.000285,7.88e-05,0.0761,0.828,193.968,1A5NvsXUXc4MrXfOEojQ6p,181667
204,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280
205,0.963,0.835,-3.394,0.137,0.08,0.000217,0.0774,0.852,108.976,2PblW8OleBJvl2DPRsWGha,222800
